Date,Transaction_Amount,Location,Anomaly
2024-06-25,2476.89,Chennai,0
2024-11-07,2707.98,Chennai,0
2024-02-22,3644.31,Chennai,0
2024-09-26,2013.51,Chennai,0
2024-02-17,1617.22,Chennai,0
2024-12-25,4355.66,Chennai,0
2024-12-16,1213.43,Chennai,0
2024-05-15,1061.78,Chennai,0
2024-12-06,4725.35,Chennai,0
2024-12-08,473.91,Chennai,0
2024-01-02,1693.73,Chennai,0
2024-03-14,1479.72,Chennai,0
2024-11-13,1815.27,Chennai,0
2024-01-26,4977.87,Chennai,0
2024-01-22,4831.7,Chennai,0
2024-12-16,2555.39,Chennai,0
2024-10-06,2043.52,Chennai,0
2024-05-25,1364.61,Chennai,0
2024-11-20,3719.17,Chennai,0
2024-01-16,4418.79,Chennai,0
2024-05-19,22637.37,Chennai,1
2024-12-05,1713.56,Chennai,0
2024-10-30,4126.16,Chennai,0
2024-09-26,2569.96,Chennai,0
2024-10-15,2802.4,Chennai,0
2024-02-04,3536.39,Chennai,0
2024-08-30,326.76,Chennai,0
2024-09-21,255.81,Chennai,0
2024-08-11,1585.67,Chennai,0
2024-03-13,4066.97,Chennai,0
2024-10-12,2397.91,Chennai,0
2024-11-08,2452.86,Chennai,0
2024-03-05,2221.72,Chennai,0
2024-09-20,1395.51,Chennai,0
2024-03-25,4340.01,Chennai,0
2024-05-29,4467.97,Chennai,0
2024-09-24,4995.59,Chennai,0
2024-10-29,3989.15,Chennai,0
2024-02-29,2518.94,Mumbai,1
2024-05-05,4687.01,Chennai,0
2024-10-23,2428.42,Chennai,0
2024-06-12,3036.54,Chennai,0
2024-02-28,4581.3,Chennai,0
2024-07-08,4780.73,Chennai,0
2024-08-04,2318.45,Chennai,0
2024-06-10,1485.91,Chennai,0
2024-05-07,3718.6,Chennai,0
2024-01-21,2683.18,Chennai,0
2024-08-07,3074.85,Chennai,0
2024-05-02,4468.46,Chennai,0
2024-06-29,1859.81,Mumbai,1
2024-02-04,2497.93,Chennai,0
2024-05-03,2027.54,Chennai,0
2024-09-24,3682.01,Chennai,0
2024-01-16,1526.86,Chennai,0
2024-01-23,4437.61,Chennai,0
2024-05-18,2077.33,Chennai,0
2024-09-13,3494.6,Chennai,0
2024-10-15,192.84,Chennai,0
2024-02-28,1041.7,Chennai,0
2024-02-14,3181.92,Chennai,0
2024-07-27,1920.52,Chennai,0
2024-04-06,2876.33,Chennai,0
2024-08-27,506.11,Chennai,0
2024-09-13,720.1,Chennai,0
2024-09-29,217.46,Chennai,0
2024-09-17,674.31,Chennai,0
2024-01-05,679.13,Chennai,0
2024-11-11,3054.5,Chennai,0
2024-01-31,160.41,Chennai,0
2024-12-10,499.77,Bangalore,1
2024-06-25,617.34,Chennai,0
2024-09-30,1798.48,Chennai,0
2024-05-02,3210.19,Chennai,0
2024-11-16,650.53,Chennai,0
2024-05-22,3105.46,Chennai,0
2024-06-28,1674.37,Chennai,0
2024-01-20,1768.1,Chennai,0
2024-01-30,3613.72,Chennai,0
2024-02-02,3624.89,Chennai,0
2024-02-05,4170.32,Chennai,0
2024-08-09,2187.45,Chennai,0
2024-08-26,2193.79,Chennai,0
2024-06-13,3033.77,Chennai,0
2024-11-14,4117.63,Delhi,1
2024-04-05,2989.36,Chennai,0
2024-05-19,4969.63,Chennai,0
2024-05-20,1158.39,Chennai,0
2024-08-08,2096.51,Chennai,0
2024-05-10,4087.7,Chennai,0
2024-11-27,4970.06,Chennai,0
2024-09-14,1367.68,Chennai,0
2024-12-09,4956.97,Chennai,0
2024-05-15,339.48,Chennai,0
2024-01-18,2812.84,Chennai,0
2024-10-22,3372.3,Chennai,0
2024-10-10,3228.91,Chennai,0
2024-06-05,1318.7,Chennai,0
2024-06-23,3306.02,Chennai,0
2024-03-27,211.11,Chennai,0
2024-01-19,2665.65,Chennai,0
2024-01-22,2471.38,Chennai,0
2024-05-19,4086.84,Chennai,0
2024-12-15,2181.09,Chennai,0
2024-10-07,2858.94,Chennai,0
2024-10-18,3584.3,Chennai,0
2024-01-19,4539.61,Chennai,0
2024-07-28,1552.94,Chennai,0
2024-11-14,3172.53,Chennai,0
2024-07-06,32987.55,Chennai,1
2024-02-25,553.01,Chennai,0
2024-06-21,1271.24,Chennai,0
2024-11-05,3063.41,Chennai,0
2024-10-07,214.02,Chennai,0
2024-05-02,1320.99,Chennai,0
2024-03-10,3164.24,Chennai,0
2024-09-19,1497.27,Chennai,0
2024-02-28,1662.6,Chennai,0
2024-10-07,109.41,Chennai,0
2024-12-21,4868.28,Chennai,0
2024-07-22,1461.8,Chennai,0
2024-01-15,2493.56,Chennai,0
2024-02-11,3397.73,Chennai,0
2024-12-29,1435.93,Chennai,0
2024-11-24,2979.02,Chennai,0
2024-06-26,4094.97,Chennai,0
2024-09-15,4161.9,Chennai,0
2024-11-11,1835.41,Chennai,0
2024-09-15,3632.66,Chennai,0
2024-03-20,2355.11,Chennai,0
2024-02-02,3913.35,Delhi,1
2024-07-10,3130.08,Chennai,0
2024-11-19,1869.39,Chennai,0
2024-12-01,1191.77,Chennai,0
2024-05-20,2915.94,Chennai,0
2024-01-03,4787.63,Chennai,0
2024-12-21,883.21,Chennai,0
2024-12-05,4348.67,Chennai,0
2024-01-02,3321.74,Chennai,0
2024-06-19,2536.16,Chennai,0
2024-01-03,2588.62,Chennai,0
2024-12-14,1139.95,Chennai,0
2024-07-26,1589.82,Chennai,0
2024-01-14,26266.16,Chennai,1
2024-01-12,506.37,Chennai,0
2024-11-07,1026.69,Chennai,0
2024-03-30,632.06,Chennai,0
2024-11-30,401.94,Chennai,0
2024-07-03,1460.47,Chennai,0
2024-02-02,3374.27,Chennai,0
2024-02-02,4562.31,Chennai,0
2024-08-21,3689.73,Chennai,0
2024-04-28,2795.71,Chennai,0
2024-08-17,595.46,Mumbai,1
2024-12-09,2297.56,Chennai,0
2024-09-19,18503.57,Chennai,1
2024-02-22,4026.35,Chennai,0
2024-12-02,1065.83,Chennai,0
2024-12-18,1825.65,Chennai,0
2024-03-22,2437.11,Chennai,0
2024-03-15,377.88,Chennai,0
2024-01-02,2247.49,Chennai,0
2024-07-31,15471.31,Chennai,1
2024-12-22,475.76,Chennai,0
2024-12-16,26127.66,Chennai,1
2024-10-21,2188.55,Chennai,0
2024-07-14,22083.45,Chennai,1
2024-02-02,2523.13,Chennai,0
2024-01-03,2191.04,Chennai,0
2024-09-29,3017.9,Chennai,0
2024-12-31,2528.32,Chennai,0
2024-12-01,2218.59,Chennai,0
2024-02-09,3667.04,Chennai,0
2024-10-11,2786.68,Chennai,0
2024-05-24,2718.43,Chennai,0
2024-01-30,2185.44,Chennai,0
2024-02-16,2865.05,Chennai,0
2024-11-01,1194.07,Chennai,0
2024-06-04,4757.48,Chennai,0
2024-08-01,1333.33,Chennai,0
2024-09-16,45111.17,Chennai,1
2024-05-18,3688.28,Chennai,0
2024-01-05,1828.02,Chennai,0
2024-03-14,3598.77,Chennai,0
2024-10-06,3894.75,Chennai,0
2024-05-16,2476.96,Chennai,0
2024-01-06,2952.11,Chennai,0
2024-12-31,3829.53,Chennai,0
2024-12-02,4851.22,Chennai,0
2024-09-08,3151.17,Chennai,0
2024-12-11,4793.08,Chennai,0
2024-08-05,4696.78,Chennai,0
2024-08-04,1599.21,Chennai,0
2024-10-31,2449.63,Chennai,0
2024-04-01,3650.16,Chennai,0
2024-12-09,1468.91,Chennai,0
2024-05-15,627.36,Chennai,0
2024-05-02,4205.74,Chennai,0
2024-10-24,2231.19,Bangalore,1
2024-09-27,10130.87,Chennai,1
2024-01-03,3495.14,Chennai,0
2024-06-06,381.67,Chennai,0
2024-09-25,1196.93,Chennai,0
2024-05-18,3271.58,Chennai,0
2024-01-16,1800.18,Chennai,0
2024-03-29,3161.68,Chennai,0
2024-09-17,612.99,Chennai,0
2024-03-30,30712.77,Chennai,1
2024-03-15,3325.95,Chennai,0
2024-12-22,1132.18,Chennai,0
2024-04-06,4202.66,Chennai,0
2024-02-27,3054.72,Chennai,0
2024-11-07,235.64,Chennai,0
2024-02-18,708.44,Chennai,0
2024-06-01,4306.7,Chennai,0
2024-11-19,2017.74,Chennai,0
2024-12-27,2047.99,Chennai,0
2024-04-17,4938.31,Chennai,0
2024-01-03,2569.87,Chennai,0
2024-07-08,4948.62,Chennai,0
2024-07-14,1031.42,Chennai,0
2024-07-16,2626.89,Chennai,0
2024-11-30,29605.69,Chennai,1
2024-06-11,1377.75,Chennai,0
2024-05-11,601.78,Chennai,0
2024-04-28,504.48,Chennai,0
2024-11-16,1748.99,Chennai,0
2024-04-06,817.34,Chennai,0
2024-07-24,1882.14,Chennai,0
2024-08-26,37231.74,Chennai,1
2024-11-23,4218.92,Chennai,0
2024-06-13,2245.31,Chennai,0
2024-01-03,2461.87,Chennai,0
2024-10-14,4421.99,Chennai,0
2024-07-08,783.44,Chennai,0
2024-01-23,3902.2,Chennai,0
2024-10-12,998.02,Chennai,0
2024-09-17,4834.11,Chennai,0
2024-11-01,4541.64,Chennai,0
2024-12-04,4274.38,Bangalore,1
2024-04-26,2428.27,Chennai,0
2024-11-15,940.97,Chennai,0
2024-06-28,3644.98,Mumbai,1
2024-04-20,383.18,Chennai,0
2024-02-06,323.29,Chennai,0
2024-11-27,40257.29,Chennai,1
2024-01-10,3769.11,Chennai,0
2024-08-24,33569.86,Chennai,1
2024-05-07,1801.87,Chennai,0
2024-11-30,4207.22,Chennai,0
2024-09-13,4238.76,Chennai,0
2024-04-21,564.82,Chennai,0
2024-07-04,326.78,Chennai,0
2024-12-18,3596.01,Chennai,0
2024-01-17,698.3,Hyderabad,1
2024-04-18,3580.76,Chennai,0
2024-12-11,2326.28,Bangalore,1
2024-02-18,32004.3,Chennai,1
2024-07-26,3418.39,Chennai,0
2024-12-08,3087.23,Chennai,0
2024-12-15,2223.21,Chennai,0
2024-01-02,1886.46,Chennai,0
2024-10-10,1365.32,Chennai,0
2024-08-17,3697.57,Chennai,0
2024-08-25,765.22,Chennai,0
2024-02-26,1087.62,Chennai,0
2024-10-22,4160.51,Chennai,0
2024-06-28,2975.95,Chennai,0
2024-10-01,2310.7,Chennai,0
2024-10-10,531.1,Chennai,0
2024-01-10,2258.11,Chennai,0
2024-02-22,3100.14,Chennai,0
2024-11-05,3684.26,Chennai,0
2024-05-08,3527.17,Chennai,0
2024-09-07,41661.61,Chennai,1
2024-08-21,4706.16,Chennai,0
2024-05-08,4114.01,Chennai,0
2024-01-06,4894.11,Chennai,0
2024-04-11,4062.74,Chennai,0
2024-07-30,2097.79,Chennai,0
2024-06-15,3977.22,Chennai,0
2024-03-13,2048.35,Chennai,0
2024-08-09,4031.59,Chennai,0
2024-06-15,4685.31,Chennai,0
2024-11-02,2386.83,Chennai,0
2024-04-04,178.57,Kolkata,1
2024-05-18,2995.53,Chennai,0
2024-06-05,1377.72,Chennai,0
2024-09-16,4016.48,Chennai,0
2024-12-09,2796.99,Chennai,0
2024-07-11,2844.81,Chennai,0
2024-11-10,4602.47,Chennai,0
2024-04-23,3212.13,Chennai,0
2024-12-01,1654.35,Chennai,0
2024-12-04,2487.56,Chennai,0
2024-06-22,3467.13,Chennai,0
2024-09-06,293.19,Chennai,0
2024-12-11,2378.56,Chennai,0
2024-07-09,3890.06,Chennai,0
2024-02-16,834.04,Chennai,0
2024-10-25,787.45,Delhi,1
2024-06-06,4701.8,Chennai,0
2024-08-05,1581.21,Chennai,0
2024-02-26,4152.05,Chennai,0
2024-05-13,4600.93,Chennai,0
2024-07-16,4206.74,Chennai,0
2024-01-02,4597.44,Chennai,0
2024-11-17,399.8,Chennai,0
2024-07-23,4183.34,Chennai,0
2024-06-20,1881.55,Chennai,0
2024-03-04,3621.27,Kolkata,1
2024-10-22,38551.23,Chennai,1
2024-01-22,3330.37,Chennai,0
2024-11-04,688.75,Chennai,0
2024-07-01,10411.84,Chennai,1
2024-07-03,2281.76,Chennai,0
2024-05-14,3191.56,Chennai,0
2024-01-29,2904.24,Chennai,0
2024-08-23,1272.85,Chennai,0
2024-08-08,2286.87,Chennai,0
2024-08-24,682.39,Chennai,0
2024-10-15,2617.44,Chennai,0
2024-11-16,450.35,Chennai,0
2024-02-15,3083.54,Chennai,0
2024-08-16,4919.74,Chennai,0
2024-05-12,3834.55,Chennai,0
2024-07-28,2133.64,Chennai,0
2024-09-15,3833.57,Chennai,0
2024-09-18,1029.55,Chennai,0
2024-01-16,1174.19,Chennai,0
2024-02-09,4820.76,Chennai,0
2024-06-10,2607.31,Chennai,0
2024-09-05,2709.55,Chennai,0
2024-09-02,1991.5,Chennai,0
2024-05-22,115.22,Chennai,0
2024-12-11,1894.39,Chennai,0
2024-02-20,3595.44,Chennai,0
2024-11-18,3813.22,Chennai,0
2024-10-07,1168.19,Chennai,0
2024-04-07,2278.55,Chennai,0
2024-08-26,965.0,Chennai,0
2024-11-04,1751.34,Chennai,0
2024-11-24,2218.31,Chennai,0
2024-10-24,3435.6,Chennai,0
2024-11-10,2446.13,Chennai,0
2024-07-02,2824.93,Chennai,0
2024-02-21,37379.88,Chennai,1
2024-03-16,2925.05,Chennai,0
2024-01-03,3865.5,Chennai,0
2024-11-25,4358.43,Chennai,0
2024-10-26,970.29,Chennai,0
2024-02-06,4332.9,Chennai,0
2024-11-06,2627.55,Chennai,0
2024-08-05,3216.71,Chennai,0
2024-06-07,4111.35,Chennai,0
2024-10-16,817.26,Chennai,0
2024-09-16,3754.65,Chennai,0
2024-02-04,3943.24,Chennai,0
2024-07-12,4533.2,Chennai,0
2024-05-24,1329.1,Chennai,0
2024-02-20,3744.33,Chennai,0
2024-10-21,2017.62,Chennai,0
2024-04-10,336.65,Chennai,0
2024-03-14,2161.3,Chennai,0
2024-02-16,33444.51,Chennai,1
2024-04-28,1715.75,Chennai,0
2024-05-09,1080.5,Chennai,0
2024-04-17,4706.47,Chennai,0
2024-06-11,932.34,Chennai,0
2024-01-08,2231.67,Chennai,0
2024-12-02,1344.96,Chennai,0
2024-03-21,3221.61,Chennai,0
2024-02-03,3267.28,Chennai,0
2024-05-27,1943.75,Chennai,0
2024-12-19,167.25,Chennai,0
2024-03-13,1625.62,Chennai,0
2024-11-28,166.45,Chennai,0
2024-12-23,4215.05,Chennai,0
2024-09-21,1855.39,Chennai,0
2024-04-21,3258.64,Chennai,0
2024-03-15,4668.32,Chennai,0
2024-04-22,2401.12,Chennai,0
2024-07-29,1085.0,Chennai,0
2024-09-25,20840.2,Chennai,1
2024-08-12,1999.38,Chennai,0
2024-11-28,702.78,Chennai,0
2024-04-13,1236.02,Chennai,0
2024-09-28,1164.38,Kolkata,1
2024-01-07,1875.74,Chennai,0
2024-01-19,2968.88,Chennai,0
2024-06-19,138.97,Chennai,0
2024-03-30,4025.69,Chennai,0
2024-11-16,4281.97,Chennai,0
2024-12-19,4844.96,Chennai,0
2024-04-25,4872.53,Chennai,0
2024-08-08,1402.27,Chennai,0
2024-10-06,1908.05,Chennai,0
2024-09-01,3900.27,Chennai,0
2024-12-21,20311.72,Chennai,1
2024-11-25,2207.67,Chennai,0
2024-04-25,3249.5,Chennai,0
2024-02-13,1841.81,Chennai,0
2024-02-02,3431.99,Chennai,0
2024-04-28,21693.18,Chennai,1
2024-04-01,676.34,Chennai,0
2024-08-14,3468.52,Chennai,0
2024-05-01,38803.2,Chennai,1
2024-10-17,3447.84,Chennai,0
2024-07-09,753.34,Chennai,0
2024-04-20,1646.78,Chennai,0
2024-09-13,2610.95,Chennai,0
2024-03-10,3813.54,Chennai,0
2024-06-18,255.48,Chennai,0
2024-11-23,1499.38,Chennai,0
2024-11-28,958.59,Chennai,0
2024-08-17,4360.06,Bangalore,1
2024-11-20,1689.08,Chennai,0
2024-11-10,2712.99,Mumbai,1
2024-11-02,4787.86,Chennai,0
2024-10-06,226.54,Chennai,0
2024-03-05,1547.48,Chennai,0
2024-06-06,3734.02,Chennai,0
2024-06-09,439.15,Chennai,0
2024-06-11,910.79,Chennai,0
2024-07-15,627.15,Chennai,0
2024-04-15,2996.9,Chennai,0
2024-02-23,4548.07,Chennai,0
2024-11-22,2153.34,Chennai,0
2024-10-26,1341.07,Chennai,0
2024-09-27,3036.36,Chennai,0
2024-03-04,3496.14,Delhi,1
2024-08-01,1211.67,Chennai,0
2024-10-23,4246.5,Chennai,0
2024-04-23,410.03,Chennai,0
2024-07-19,3153.41,Chennai,0
2024-03-10,1709.93,Chennai,0
2024-10-04,4325.64,Mumbai,1
2024-01-09,4487.64,Mumbai,1
2024-08-12,4941.43,Chennai,0
2024-06-07,4319.58,Chennai,0
2024-08-10,3807.33,Chennai,0
2024-05-03,3664.31,Chennai,0
2024-01-31,2821.68,Chennai,0
2024-01-03,2919.45,Chennai,0
2024-09-24,3097.99,Chennai,0
2024-04-08,3818.06,Chennai,0
2024-07-22,4701.18,Chennai,0
2024-11-29,600.96,Chennai,0
2024-05-05,16923.25,Chennai,1
2024-02-22,1992.64,Chennai,0
2024-02-25,1952.8,Chennai,0
2024-07-27,505.94,Bangalore,1
2024-12-28,4896.53,Chennai,0
2024-09-06,1197.3,Chennai,0
2024-05-23,1644.48,Chennai,0
2024-04-20,3806.01,Chennai,0
2024-07-02,4734.15,Chennai,0
2024-11-27,2107.68,Chennai,0
2024-08-06,2767.81,Chennai,0
2024-09-01,1399.48,Chennai,0
2024-07-04,436.95,Chennai,0
2024-08-16,4927.87,Chennai,0
2024-11-22,4529.18,Chennai,0
2024-04-24,378.53,Chennai,0
2024-05-02,4297.61,Chennai,0
2024-11-21,3572.57,Chennai,0
2024-11-08,1925.07,Chennai,0
2024-09-11,2734.88,Chennai,0
2024-05-01,2996.64,Chennai,0
2024-03-04,2674.64,Chennai,0
2024-12-04,3288.82,Chennai,0
2024-02-03,1181.78,Chennai,0
2024-10-11,934.43,Chennai,0
2024-05-03,1772.64,Chennai,0
2024-11-27,3184.43,Chennai,0
2024-09-08,1868.16,Chennai,0
2024-07-25,2556.46,Chennai,0
2024-08-05,1486.06,Chennai,0
2024-09-27,4399.52,Chennai,0
2024-04-02,3825.82,Chennai,0
2024-02-23,1493.74,Chennai,0
2024-03-17,1744.77,Chennai,0
2024-08-15,526.77,Chennai,0
2024-04-17,983.18,Chennai,0
2024-10-30,3927.53,Chennai,0
2024-10-21,10905.02,Chennai,1
2024-08-10,4585.3,Chennai,0
2024-08-27,2084.9,Chennai,0
2024-07-29,1003.72,Chennai,0
2024-07-28,3080.25,Chennai,0
2024-06-06,1345.6,Chennai,0
2024-05-13,2175.6,Chennai,0
2024-01-28,794.36,Chennai,0
2024-11-03,2381.46,Mumbai,1
2024-06-28,1482.52,Chennai,0
2024-08-10,1174.28,Chennai,0
2024-07-16,1482.23,Chennai,0
2024-07-08,174.53,Chennai,0
2024-12-02,2333.32,Chennai,0
2024-11-16,3019.21,Chennai,0
2024-08-28,187.48,Chennai,0
2024-09-26,883.48,Chennai,0
2024-11-14,696.92,Chennai,0
2024-05-23,3015.37,Bangalore,1
2024-03-16,4969.29,Chennai,0
2024-09-11,1418.15,Chennai,0
2024-10-31,4520.27,Chennai,0
2024-01-31,115.81,Chennai,0
2024-08-15,4737.9,Chennai,0
2024-01-14,4580.7,Chennai,0
2024-10-25,3243.79,Chennai,0
2024-11-01,1692.08,Chennai,0
2024-07-28,1793.95,Chennai,0
2024-02-25,4575.4,Chennai,0
2024-06-07,2436.55,Chennai,0
2024-08-28,2009.81,Chennai,0
2024-09-28,476.41,Chennai,0
2024-01-03,26751.49,Chennai,1
2024-09-17,836.97,Chennai,0
2024-01-31,4410.86,Chennai,0
2024-02-02,3073.47,Chennai,0
2024-02-07,522.89,Chennai,0
2024-04-06,4385.24,Chennai,0
2024-01-29,450.68,Chennai,0
2024-11-14,4404.48,Chennai,0
2024-10-31,2222.19,Chennai,0
2024-11-23,3192.09,Chennai,0
2024-10-07,1591.66,Chennai,0
2024-03-08,442.58,Chennai,0
2024-02-06,3598.86,Chennai,0
2024-08-16,1074.27,Chennai,0
2024-09-06,3402.11,Chennai,0
2024-06-20,1773.82,Chennai,0
2024-04-10,784.04,Chennai,0
2024-11-06,3785.2,Chennai,0
2024-11-24,1260.1,Chennai,0
